signal_threshold,tolerance_years,ground_truth_events,measurable_events,measurable_rate,detected_events,detection_rate_all_events,detection_rate_measurable,exact_detections,exact_detection_rate,mean_detection_error,median_detection_error
0.03,0,9,6,0.6666666666666666,1,0.1111111111111111,0.16666666666666666,1,0.16666666666666666,2.0,2.0
0.03,1,9,6,0.6666666666666666,1,0.1111111111111111,0.16666666666666666,1,0.16666666666666666,2.0,2.0
0.03,3,9,6,0.6666666666666666,1,0.1111111111111111,0.16666666666666666,1,0.16666666666666666,2.0,2.0
0.03,5,9,6,0.6666666666666666,2,0.2222222222222222,0.3333333333333333,1,0.16666666666666666,2.0,2.0
0.05,0,9,3,0.3333333333333333,1,0.1111111111111111,0.3333333333333333,1,0.3333333333333333,0.0,0.0
0.05,1,9,3,0.3333333333333333,1,0.1111111111111111,0.3333333333333333,1,0.3333333333333333,0.0,0.0
0.05,3,9,3,0.3333333333333333,1,0.1111111111111111,0.3333333333333333,1,0.3333333333333333,0.0,0.0
0.05,5,9,3,0.3333333333333333,1,0.1111111111111111,0.3333333333333333,1,0.3333333333333333,0.0,0.0
0.075,0,9,2,0.2222222222222222,1,0.1111111111111111,0.5,1,0.5,0.0,0.0
0.075,1,9,2,0.2222222222222222,1,0.1111111111111111,0.5,1,0.5,0.0,0.0
0.075,3,9,2,0.2222222222222222,1,0.1111111111111111,0.5,1,0.5,0.0,0.0
0.075,5,9,2,0.2222222222222222,1,0.1111111111111111,0.5,1,0.5,0.0,0.0
0.1,0,9,1,0.1111111111111111,0,0.0,0.0,0,0.0,,
0.1,1,9,1,0.1111111111111111,0,0.0,0.0,0,0.0,,
0.1,3,9,1,0.1111111111111111,0,0.0,0.0,0,0.0,,
0.1,5,9,1,0.1111111111111111,0,0.0,0.0,0,0.0,,
