country_a,country_b,episode_start,episode_end,peak_change_year,max_change_magnitude,max_effect_size,max_confidence,detections,confirmed_detections
IND,RUS,1997,2000,1998,0.128,3.693,0.669,4,1
IND,USA,2023,2023,2023,0.115,8.438,0.67,1,1
