country_a,country_b,observations,mean_alignment,median_alignment,mean_divergence,directional_agreement
IND,CHN,273,0.9595018315018315,1.0,0.080996336996337,0.9853479853479854
IND,RUS,171,0.8338412280701755,0.9,0.3323175438596491,0.8538011695906432
CHN,RUS,169,0.830319526627219,0.875,0.3393609467455621,0.8579881656804734
USA,RUS,170,0.31736588235294116,0.25,1.3652682352941177,0.1
IND,USA,274,0.22498923357664233,0.13392499999999996,1.5500215328467153,0.051094890510948905
CHN,USA,271,0.21127656826568264,0.125,1.5774468634686347,0.05166051660516605
