country_a,country_b,change_year,issue,before_observations,after_observations,mean_before,mean_after,issue_shift,absolute_shift,issue_direction,share_of_total_change,contribution_percent,rank
IND,RUS,1997,HUMAN RIGHTS ADVANCEMENT,3,3,0.55555,0.8730166666666667,0.3174666666666667,0.3174666666666667,INCREASING,0.2781237452089797,27.81237452089797,1
IND,RUS,1997,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,3,3,0.6333333333333333,0.9,0.2666666666666667,0.2666666666666667,INCREASING,0.2336192735900712,23.36192735900712,2
IND,RUS,1997,PALESTINE QUESTION,3,3,0.5833333333333334,0.7666666666666666,0.18333333333333324,0.18333333333333324,INCREASING,0.16061325059317383,16.061325059317383,3
IND,RUS,1997,UNRWA--ACTIVITIES,3,3,0.8333333333333334,1.0,0.16666666666666663,0.16666666666666663,INCREASING,0.14601204599379444,14.601204599379445,4
IND,RUS,1997,HUMAN RIGHTS--REPORTS,3,2,0.4960333333333333,0.645825,0.14979166666666666,0.14979166666666666,INCREASING,0.13122832633692277,13.122832633692278,5
IND,RUS,1997,DISARMAMENT--GENERAL AND COMPLETE,3,3,0.9742000000000001,0.9166666666666666,-0.057533333333333436,0.057533333333333436,DECREASING,0.05040335827705794,5.040335827705794,6
IND,RUS,1998,HUMAN RIGHTS ADVANCEMENT,3,3,0.6507833333333334,0.8952333333333334,0.24445000000000006,0.24445000000000006,INCREASING,0.3881699086939261,38.81699086939261,1
IND,RUS,1998,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,3,3,0.7666666666666666,0.9,0.13333333333333341,0.13333333333333341,INCREASING,0.21172422919147815,21.172422919147817,2
IND,RUS,1998,DISARMAMENT--GENERAL AND COMPLETE,3,2,0.9603,0.875,-0.08530000000000004,0.08530000000000004,DECREASING,0.13545057562524812,13.545057562524812,3
IND,RUS,1998,PALESTINE QUESTION,3,3,0.6666666666666666,0.75,0.08333333333333337,0.08333333333333337,INCREASING,0.13232764324467383,13.232764324467382,4
IND,RUS,1998,UNRWA--ACTIVITIES,3,3,0.9166666666666666,1.0,0.08333333333333337,0.08333333333333337,INCREASING,0.13232764324467383,13.232764324467382,5
IND,RUS,1999,HUMAN RIGHTS ADVANCEMENT,3,3,0.7619000000000001,0.9388833333333334,0.17698333333333327,0.17698333333333327,INCREASING,0.5387073863636361,53.87073863636361,1
IND,RUS,1999,DISARMAMENT--GENERAL AND COMPLETE,3,2,0.9741833333333334,0.8392999999999999,-0.13488333333333347,0.13488333333333347,DECREASING,0.41056209415584455,41.056209415584455,2
IND,RUS,1999,PALESTINE QUESTION,3,3,0.7666666666666666,0.75,-0.016666666666666607,0.016666666666666607,DECREASING,0.0507305194805193,5.07305194805193,3
IND,RUS,1999,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,3,3,0.9,0.9,0.0,0.0,STABLE,0.0,0.0,4
IND,RUS,1999,UNRWA--ACTIVITIES,3,3,1.0,1.0,0.0,0.0,STABLE,0.0,0.0,5
IND,RUS,2000,HUMAN RIGHTS ADVANCEMENT,3,3,0.8015833333333333,0.8833333333333334,0.0817500000000001,0.0817500000000001,INCREASING,0.6204933586337767,62.04933586337768,1
IND,RUS,2000,UNRWA--ACTIVITIES,3,3,1.0,0.9666666666666667,-0.033333333333333326,0.033333333333333326,DECREASING,0.2530044275774825,25.300442757748247,2
IND,RUS,2000,PALESTINE QUESTION,3,3,0.7666666666666666,0.75,-0.016666666666666607,0.016666666666666607,DECREASING,0.12650221378874082,12.650221378874082,3
IND,RUS,2000,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,3,3,0.9,0.9,0.0,0.0,STABLE,0.0,0.0,4
