country_a,country_b,issue,observations,mean_alignment,median_alignment,mean_divergence,directional_agreement,reportable
IND,USA,TERRITORIES OCCUPIED BY ISRAEL--SETTLEMENT POLICY,3,0.041666666666666664,0.0,1.9166666666666667,0.0,False
IND,USA,DISARMAMENT--UN. GENERAL ASSEMBLY (12TH SPECIAL SESS. : 1982)--RECOMMENDATIONS,6,0.0803583333333333,0.0625,1.8392833333333334,0.0,True
IND,USA,APARTHEID,10,0.09304499999999997,0.08712499999999995,1.81391,0.0,True
IND,USA,DECOLONIZATION,13,0.10320384615384616,0.0,1.7935923076923077,0.0,True
IND,USA,INTERNATIONAL TRADE,4,0.1354125,0.0625,1.7291750000000001,0.0,False
IND,USA,HUMAN RIGHTS ADVANCEMENT,17,0.14849705882352937,0.1666499999999999,1.7030058823529413,0.0,True
IND,USA,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,38,0.15098421052631572,0.0999999999999999,1.6980315789473683,0.0,True
IND,USA,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS,3,0.1666499999999999,0.1666499999999999,1.6666999999999998,0.0,False
IND,USA,UNRWA--ACTIVITIES,38,0.1686,0.14582499999999995,1.6628,0.0,True
IND,USA,HUMAN RIGHTS--REPORTS,8,0.22723749999999995,0.2142999999999999,1.545525,0.0,True
IND,USA,DISARMAMENT--UN. GENERAL ASSEMBLY (10TH SPECIAL SESS. : 1978)--RECOMMENDATIONS,6,0.2348833333333333,0.2378249999999999,1.5302333333333333,0.0,True
IND,USA,MIDDLE EAST SITUATION,14,0.28213571428571427,0.1666499999999999,1.4357285714285715,0.07142857142857142,True
IND,USA,UN. ECONOMIC AND SOCIAL COUNCIL--REPORTS,8,0.37291874999999997,0.44999999999999996,1.2541625,0.125,True
IND,USA,NAMIBIA QUESTION,6,0.5,0.5,1.0,0.0,True
IND,USA,DISARMAMENT--GENERAL AND COMPLETE,27,0.7490148148148149,0.8,0.5019703703703704,0.3333333333333333,True
USA,RUS,TERRITORIES OCCUPIED BY ISRAEL--SETTLEMENT POLICY,3,0.11109999999999993,0.1666499999999999,1.7778,0.0,False
USA,RUS,DECOLONIZATION,7,0.12023571428571427,0.0,1.7595285714285716,0.0,True
USA,RUS,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS,3,0.1666499999999999,0.1666499999999999,1.6666999999999998,0.0,False
USA,RUS,UNRWA--ACTIVITIES,33,0.18606666666666666,0.125,1.6278666666666666,0.0,True
USA,RUS,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,29,0.2632999999999999,0.1999999999999999,1.4734,0.0,True
USA,RUS,PALESTINE QUESTION,30,0.27166666666666667,0.25,1.4566666666666668,0.0,True
USA,RUS,HUMAN RIGHTS ADVANCEMENT,17,0.277385294117647,0.1666499999999999,1.4452294117647058,0.0,True
USA,RUS,MIDDLE EAST SITUATION,5,0.47499,0.66665,1.05002,0.0,True
USA,RUS,HUMAN RIGHTS--REPORTS,8,0.6552125,0.654775,0.689575,0.875,True
USA,RUS,DISARMAMENT--GENERAL AND COMPLETE,18,0.7387999999999999,0.83335,0.5224,0.3888888888888889,True
