country_column
SENEGAL
MALAYSIA
VENEZUELA (BOLIVARIAN REPUBLIC OF)
UNITED KINGDOM
RUSSIAN FEDERATION
JAPAN
ANGOLA
URUGUAY
SPAIN
EGYPT
NEW ZEALAND
UNITED STATES
FRANCE
CHINA
UKRAINE
NIGER
SAINT VINCENT AND THE GRENADINES
ESTONIA
SOUTH AFRICA
VIET NAM
BELGIUM
GERMANY
TUNISIA
INDONESIA
DOMINICAN REPUBLIC
BRAZIL
UNITED REPUBLIC OF TANZANIA
PHILIPPINES
ALGERIA
BENIN
DENMARK
ROMANIA
ARGENTINA
GREECE
AUSTRIA
SWITZERLAND
CYPRUS
MOZAMBIQUE
SUDAN
FIJI
BULGARIA
CUBA
UGANDA
ZAMBIA
SOUTH SUDAN
MONACO
REPUBLIC OF KOREA
REPUBLIC OF MOLDOVA
SAN MARINO
YEMEN
ITALY
BURUNDI
HUNGARY
CAMBODIA
MALAWI
NAURU
NICARAGUA
BRUNEI DARUSSALAM
POLAND
THAILAND
MALDIVES
SIERRA LEONE
TURKEY
CABO VERDE
PAPUA NEW GUINEA
MARSHALL ISLANDS
AZERBAIJAN
MADAGASCAR
CAMEROON
SAUDI ARABIA
IRAN (ISLAMIC REPUBLIC OF)
NEPAL
SAMOA
IRAQ
LIBYA
BAHRAIN
GUINEA
EQUATORIAL GUINEA
KYRGYZSTAN
ERITREA
KUWAIT
ARMENIA
MAURITANIA
SINGAPORE
CENTRAL AFRICAN REPUBLIC
PERU
LIECHTENSTEIN
NETHERLANDS
SERBIA
HAITI
IRELAND
KAZAKHSTAN
DJIBOUTI
DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA
BOSNIA AND HERZEGOVINA
PAKISTAN
SWEDEN
ZIMBABWE
SOMALIA
SLOVAKIA
AUSTRALIA
KIRIBATI
QATAR
LITHUANIA
ICELAND
LUXEMBOURG
ETHIOPIA
COMOROS
SRI LANKA
GUYANA
TONGA
UZBEKISTAN
VANUATU
LESOTHO
COLOMBIA
GUINEA-BISSAU
BOTSWANA
COSTA RICA
TAJIKISTAN
LIBERIA
COTE D'IVOIRE
GABON
INDIA
ECUADOR
ESWATINI
SEYCHELLES
SAINT KITTS AND NEVIS
SOLOMON ISLANDS
MAURITIUS
ANDORRA
SAO TOME AND PRINCIPE
BELARUS
PALAU
GEORGIA
MYANMAR
AFGHANISTAN
CZECHIA
MEXICO
BANGLADESH
FINLAND
ISRAEL
HONDURAS
MALI
NORTH MACEDONIA
LEBANON
BARBADOS
BHUTAN
MOROCCO
MALTA
SURINAME
CANADA
UNITED ARAB EMIRATES
CROATIA
KENYA
RWANDA
CONGO
GUATEMALA
ANTIGUA AND BARBUDA
LATVIA
TOGO
GRENADA
NAMIBIA
SYRIAN ARAB REPUBLIC
NORWAY
CHILE
DOMINICA
ALBANIA
TRINIDAD AND TOBAGO
PANAMA
MONTENEGRO
NIGERIA
GHANA
OMAN
SLOVENIA
BAHAMAS
JAMAICA
BOLIVIA (PLURINATIONAL STATE OF)
SAINT LUCIA
MONGOLIA
PORTUGAL
DEMOCRATIC REPUBLIC OF THE CONGO
EL SALVADOR
GAMBIA
TURKMENISTAN
MICRONESIA (FEDERATED STATES OF)
TIMOR-LESTE
BELIZE
CHAD
BURKINA FASO
LAO PEOPLE'S DEMOCRATIC REPUBLIC
TUVALU
JORDAN
PARAGUAY
SERBIA AND MONTENEGRO
BOLIVIA
THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA
CAPE VERDE
CZECH REPUBLIC
VENEZUELA
SWAZILAND
LIBYAN ARAB JAMAHIRIYA
YUGOSLAVIA
MOLDOVA
UPPER VOLTA
DEMOCRATIC YEMEN
IVORY COAST
UKRAINIAN SSR
LAO PEOPLE's DEMOCRATIC REPUBLIC
BYELORUSSIAN SSR
DEMOCRATIC KAMPUCHEA
UNITED REPUBLIC OF CAMEROON
GERMAN DEMOCRATIC REPUBLIC
BURMA
ZAIRE
"GERMANY, FEDERAL REPUBLIC OF"
USSR
CZECHOSLOVAKIA
COTE D’IVOIRE
PLURINATIONAL STATE OF BOLIVIA
LIBYAN ARAB REPUBLIC
IRAN
KHMER REPUBLIC
LAOS
CEYLON
DAHOMEY
UNITED ARAB REPUBLIC
SYRIA
SOUTHERN YEMEN
CONGO (BRAZZAVILLE)
CONGO (LEOPOLDVILLE)
 UNITED KINGDOM
 UNITED STATES
Aa UNITED STATES
CENTRAL AFRICAN EMPIRE
MALDIVE ISLANDS
CHILEs 
AY DENMARK
UNION OF SOUTH AFRICA
FEDERATION OF MALAYA
TANGANYIKA
 CHILE
 SOMALIA
 ALGERIA
SERBIAMONTENEGRO
DONOTKNOW
ZANZIBAR
BOLIVIA (PLURINATIOANL STATE OF)
AY UNION OF SOUTH AFRICA
AY SWEDEN
BOLIVIA (PLUNATIONAL STATE OF)
SIAM
REPULIC OF MOLDOVA
PHILIPPINE REPUBLIC
SURINAM
 BELGIUM
SAINT CHRISTOPHER AND NEVIS
TKAZAKHSTAN
DEMOCRATIC CAMPUCHEA
CONGO (DEMOCRATIC REPUBLIC OF)
